# Time-averaged data for fix msd_out
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
42300 1.07251 0.63386 0.254937 1.96131
42400 1.06664 0.68164 0.270495 2.01878
42500 1.11941 0.695425 0.25804 2.07288
42600 1.22435 0.664006 0.218686 2.10704
42700 1.32408 0.652479 0.23165 2.20821
42800 1.40435 0.67699 0.250611 2.33195
42900 1.39595 0.735358 0.24117 2.37248
43000 1.39614 0.797361 0.239007 2.43251
43100 1.42399 0.864099 0.258945 2.54704
43200 1.46202 0.833001 0.245518 2.54054
43300 1.49427 0.762567 0.233567 2.4904
43400 1.51983 0.719877 0.251795 2.4915
43500 1.4302 0.71739 0.265181 2.41277
43600 1.30062 0.7547 0.26171 2.31703
43700 1.20959 0.779574 0.258446 2.24761
43800 1.17365 0.748985 0.257747 2.18038
43900 1.11931 0.725415 0.229058 2.07379
44000 1.14495 0.68079 0.228206 2.05395
44100 1.17226 0.641487 0.250962 2.06471
44200 1.15266 0.658925 0.25817 2.06975
44300 1.06251 0.765742 0.263443 2.0917
44400 1.04063 0.792047 0.280876 2.11355
44500 1.08141 0.743317 0.283483 2.10821
44600 1.12379 0.705969 0.236003 2.06576
44700 1.14226 0.672757 0.216981 2.032
44800 1.17353 0.671077 0.241471 2.08608
44900 1.16965 0.724884 0.252772 2.14731
45000 1.18884 0.779186 0.251176 2.21921
45100 1.25305 0.784987 0.266988 2.30503
45200 1.32612 0.740113 0.259878 2.32611
45300 1.34896 0.714595 0.239107 2.30266
45400 1.31067 0.749355 0.240391 2.30042
45500 1.24812 0.797663 0.261177 2.30696
45600 1.2227 0.819116 0.248255 2.29007
45700 1.22684 0.796069 0.237396 2.26031
45800 1.24507 0.752296 0.235297 2.23266
45900 1.2443 0.717192 0.242829 2.20432
46000 1.22537 0.72893 0.253963 2.20826
46100 1.18876 0.772492 0.279486 2.24074
46200 1.14218 0.821322 0.295609 2.25911
46300 1.13173 0.827674 0.296989 2.25639
46400 1.15767 0.77837 0.272816 2.20886
46500 1.19201 0.741585 0.256702 2.1903
46600 1.17968 0.758072 0.234278 2.17203
46700 1.14718 0.784264 0.221614 2.15306
46800 1.14919 0.806094 0.228986 2.18427
46900 1.20094 0.822007 0.249548 2.2725
47000 1.28987 0.827615 0.246645 2.36413
47100 1.35452 0.809016 0.225647 2.38918
47200 1.38835 0.81466 0.235531 2.43854
47300 1.37382 0.851245 0.257494 2.48256
47400 1.321 0.884641 0.233831 2.43948
47500 1.285 0.877169 0.198915 2.36108
47600 1.25937 0.826273 0.196572 2.28221
47700 1.23182 0.74381 0.190672 2.1663
